,0
0,0.26561702614724836
1,0.3770795980697745
2,0.46966946096150697
3,0.5457585256199435
4,0.6077177868444269
5,0.6591168245982832
6,0.7014070556469092
7,0.735609512920525
8,0.763502156819659
9,0.7874038304038897
10,0.8063859022023488
11,0.8208434471083593
12,0.8329802049516764
13,0.8420459612653582
14,0.8500181803617303
15,0.8560277946392283
16,0.8609118742357148
17,0.865563393985715
18,0.8693996896617917
19,0.8723893913205789
20,0.875388987518559
21,0.8774709322344003
22,0.8794178643162379
23,0.881544426254248
24,0.8833879963728575
25,0.8851245221174918
26,0.8425228975363122
27,0.8443547597195991
28,0.8760331626426053
29,0.9261533354559777
30,0.9859738183766337
31,1.0490806830781023
32,1.1103557988447241
33,1.1664762561414457
34,1.215672959463272
35,1.2571327277135587
36,1.2908892650301556
37,1.317636586474996
38,1.3382801681827552
39,1.353853554101125
40,1.3652556210736506
41,1.373397481247743
42,1.3788722989959143
43,1.3822773476861627
44,1.384076535191308
45,1.384653452451573
46,1.384353155266645
47,1.3835166228228304
48,1.382035090579286
49,1.3801815624609963
50,1.3779941752620364
51,1.3834539558202161
52,1.3918029125199036
53,1.3948978304512618
54,1.383164181234477
55,1.343302983993257
56,1.2675036810384785
57,1.1612856080804126
58,1.0389761182735284
59,0.914301147979401
60,0.7962393670305374
61,0.6893531526409218
62,0.5952534275550111
63,0.5139016545996425
64,0.4444307643528785
65,0.3856373118494381
66,0.3362192039689431
67,0.2949145240297959
68,0.26056690344101546
69,0.2321465197363792
70,0.20874489784690653
71,0.18957354922011802
72,0.17394565977427648
73,0.1612884050083398
74,0.1511266055482939
75,0.14305071978602055
76,0.1363320830322543
77,0.12990033220663552
78,0.12394039751231874
79,0.11945474577138254
80,0.11890378708000984
81,0.12812035110950196
82,0.16102135383435837
83,0.24492953820364852
84,0.39868464874785337
85,0.5807789854912755
86,0.7301236173524526
87,0.826787101569248
88,0.87652698446468
89,0.8904795076779418
90,0.8788477861239894
91,0.8498236227398445
92,0.8097046873708296
93,0.7632205628441814
94,0.7138498440175627
95,0.6640905918259787
96,0.6156816759215862
97,0.5697804447260998
98,0.5271056868224702
99,0.4880588051600487
100,0.45280927479762795
101,0.4213149136490829
102,0.39315747598401535
103,0.3678432644724528
104,0.34518702712791083
105,0.32563879971118415
106,0.31100186191633117
107,0.3061818473835337
108,0.3227387119878916
109,0.37996524791400277
110,0.48972297042248586
111,0.6363193093258672
112,0.7810789609375971
113,0.89525925870732
114,0.9802931304948838
115,1.049934415298218
116,1.1134702498042381
117,1.1718591393143545
118,1.2205732825602145
119,1.254387431705484
120,1.2705370099381286
121,1.269195315817354
122,1.252497769485893
123,1.223435700844851
124,1.1851238149656862
125,1.1404307755035539
126,1.0918178467620303
127,1.0412628959230066
128,0.9902176903604747
129,0.9397487741072487
130,0.8907704159688897
131,0.8444168594442127
132,0.8027734766230956
133,0.7704461074035006
134,0.7569841161473785
135,0.7765071433858814
136,0.8392853228143152
137,0.9356686822549432
138,1.0224487139475325
139,1.0569413102911074
140,1.0341356134427984
141,0.9688839513021319
142,0.8792065805135804
143,0.7812928459706777
144,0.6867798144986537
145,0.602405545712573
146,0.5315447794145557
147,0.4759628820319379
148,0.43709738734215425
149,0.4168692763944905
150,0.41805566520611065
151,0.44401080107652263
152,0.49734100564748074
153,0.5775669128648596
154,0.6789894140085672
155,0.7908808908905697
156,0.9007164951000315
157,0.9983390501677273
158,1.0785960631315403
159,1.142125101149327
160,1.194416714446365
161,1.2391915349001459
162,1.2596224016948114
163,1.2237408764811761
164,1.1500999336282962
165,1.0868640559616523
166,1.0686481775194465
167,1.1041211199359644
168,1.1629268654858764
169,1.2054754325137316
170,1.2168115143862237
171,1.2002038598000064
172,1.1642631930678988
173,1.117899713996289
174,1.0693046908529247
175,1.026108065659721
176,0.9956978550592868
177,0.9852310973385465
178,1.0007874370018521
179,1.0448314462776298
180,1.109344889364096
181,1.1638234830631629
182,1.165531083103729
183,1.105526358942742
184,1.0087559397343073
185,0.8993177766831398
186,0.79028837611012
187,0.6900711577662891
188,0.6101658198852484
189,0.5658870448703712
190,0.5656385740935487
191,0.5919594353530779
192,0.6065638185634409
193,0.587740919969538
194,0.5469297904716658
195,0.5031579782977956
196,0.4686652608117022
197,0.451243615760926
198,0.45703887881538946
199,0.49004159882571446
200,0.5488009450063127
201,0.6239962581681934
202,0.7005235953750775
203,0.7613432683914847
204,0.789062808481344
205,0.7721107996691456
206,0.7201305309651866
207,0.6625321648625228
208,0.631248687156255
209,0.6568693105958145
210,0.7501268343960454
211,0.8707716332596003
212,0.9672136847989965
213,1.0231031300718127
214,1.048272606300529
215,1.0614750167519107
216,1.0779228451666385
217,1.0994003042558433
218,1.116153896633038
219,1.1188791883101732
220,1.1057068868579571
221,1.080690632309712
222,1.0507575913445957
223,1.02412692664667
224,1.0094237430057602
225,1.0141515669442922
226,1.04197305693987
227,1.0896829582801075
228,1.146385039622319
229,1.199431010268914
230,1.2432744869625771
231,1.2745661142722637
232,1.2873813167081738
233,1.2842735645620391
234,1.2804064126887156
235,1.2946475041051668
236,1.3193478642724867
237,1.309156370012968
238,1.2534969195474797
239,1.1798243683763534
240,1.1069847600481655
241,1.0375008413292555
242,0.9675316294467647
243,0.89763223051508
244,0.8344378187179577
245,0.7860356087307191
246,0.7586979273845579
247,0.7552144675120365
248,0.7730018480328223
249,0.8030574506335945
250,0.8314587377163968
251,0.8425452419545699
252,0.823943282626251
253,0.7744980131346489
254,0.7054351603606511
255,0.629999159297875
256,0.556873217519352
257,0.4915249993912045
258,0.4371538690396017
259,0.3938110618583016
260,0.3573435806432677
261,0.32283590691948777
262,0.2926526467911881
263,0.275318490757994
264,0.28057803713933116
265,0.31711126920387694
266,0.3900429100797093
267,0.49936400146334703
268,0.6346170086075721
269,0.773078955584262
